"DR2TWS.Code.or.Value","DR2TWS.Value.Description","DR2TWS.Count","DR2TWS.Cumulative","DR2TWS.Skip.to.Item"
"1","Community supply",4456,4456,NA
"2","Well or rain cistern",503,4959,NA
"3","Spring",56,5015,NA
"4","Don't drink tap water",1686,6701,NA
"91","Other",0,6701,NA
"99","Don't know",370,7071,NA
".","Missing",2473,9544,NA
