"FFQ0063B.Code.or.Value","FFQ0063B.Value.Description","FFQ0063B.Count","FFQ0063B.Cumulative","FFQ0063B.Skip.to.Item"
1,"Almost never or never",2774,2774,NA
2,"About 1/4 of the time",1122,3896,NA
3,"About 1/2 of the time",832,4728,NA
4,"About 3/4 of the time",294,5022,NA
5,"Almost always or always",602,5624,NA
88,"Blank",388,6012,NA
99,"Error",1,6013,NA
