"DRD370DQ.Code.or.Value","DRD370DQ.Value.Description","DRD370DQ.Count","DRD370DQ.Cumulative","DRD370DQ.Skip.to.Item"
"1 to 30","Range of Values",623,623,NA
".","Missing",8081,8704,NA
