"DR2IP184.Code.or.Value","DR2IP184.Value.Description","DR2IP184.Count","DR2IP184.Cumulative","DR2IP184.Skip.to.Item"
"0 to 1.258","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
