"DRD370QQ.Code.or.Value","DRD370QQ.Value.Description","DRD370QQ.Count","DRD370QQ.Cumulative","DRD370QQ.Skip.to.Item"
"1 to 20","Range of Values",35,35,NA
".","Missing",8669,8704,NA
