"DTD060Q.Code.or.Value","DTD060Q.Value.Description","DTD060Q.Count","DTD060Q.Cumulative","DTD060Q.Skip.to.Item"
"0 to 90","Range of Values",5626,5626,NA
"777","Refused",1,5627,NA
"999","Don't know",5,5632,NA
".","Missing",2909,8541,NA
