"DR1TS100.Code.or.Value","DR1TS100.Value.Description","DR1TS100.Count","DR1TS100.Cumulative","DR1TS100.Skip.to.Item"
"0 to 9.105","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
