"DSQTCHL.Code.or.Value","DSQTCHL.Value.Description","DSQTCHL.Count","DSQTCHL.Cumulative","DSQTCHL.Skip.to.Item"
"0.0003 to 666.6667","Range of Values",585,585,NA
".","Missing",8669,9254,NA
