"DTD050Q.Code.or.Value","DTD050Q.Value.Description","DTD050Q.Count","DTD050Q.Cumulative","DTD050Q.Skip.to.Item"
"0 to 90","Range of Values",7838,7838,NA
"777","Refused",3,7841,NA
"999","Don't know",19,7860,NA
".","Missing",681,8541,NA
