"DS2TVB12.Code.or.Value","DS2TVB12.Value.Description","DS2TVB12.Count","DS2TVB12.Cumulative","DS2TVB12.Skip.to.Item"
"0.6 to 20120","Range of Values",1553,1553,NA
".","Missing",7151,8704,NA
