"DR1TFOLA.Code.or.Value","DR1TFOLA.Value.Description","DR1TFOLA.Count","DR1TFOLA.Cumulative","DR1TFOLA.Skip.to.Item"
"0 to 3752","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
