"DS2IIODI.Code.or.Value","DS2IIODI.Value.Description","DS2IIODI.Count","DS2IIODI.Cumulative","DS2IIODI.Skip.to.Item"
"6.25 to 12500","Range of Values",1093,1093,NA
".","Missing",4683,5776,NA
