"DSQIZINC.Code.or.Value","DSQIZINC.Value.Description","DSQIZINC.Count","DSQIZINC.Cumulative","DSQIZINC.Skip.to.Item"
"0.0001 to 450","Range of Values",2374,2374,NA
".","Missing",7610,9984,NA
