"DR1TBCAR.Code.or.Value","DR1TBCAR.Value.Description","DR1TBCAR.Count","DR1TBCAR.Cumulative","DR1TBCAR.Skip.to.Item"
"0 to 71772","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
