"DR2TS040.Code.or.Value","DR2TS040.Value.Description","DR2TS040.Count","DR2TS040.Cumulative","DR2TS040.Skip.to.Item"
"0 to 5.732","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
