"DS1ICOPP.Code.or.Value","DS1ICOPP.Value.Description","DS1ICOPP.Count","DS1ICOPP.Cumulative","DS1ICOPP.Skip.to.Item"
"0.002 to 8.8","Range of Values",903,903,NA
".","Missing",5165,6068,NA
