"DRQ370UQ.Code.or.Value","DRQ370UQ.Value.Description","DRQ370UQ.Count","DRQ370UQ.Cumulative","DRQ370UQ.Skip.to.Item"
"1 to 90","Range of Values",374,374,NA
".","Missing",8908,9282,NA
