"DSDDAY1.Code.or.Value","DSDDAY1.Value.Description","DSDDAY1.Count","DSDDAY1.Cumulative","DSDDAY1.Skip.to.Item"
"1","Yes",5187,5187,NA
"2","No",3041,8228,NA
"7","Refused",5,8233,NA
"9","Don't know",18,8251,NA
".","Missing",1733,9984,NA
