"DR2TLZ.Code.or.Value","DR2TLZ.Value.Description","DR2TLZ.Count","DR2TLZ.Cumulative","DR2TLZ.Skip.to.Item"
"0 to 80214","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
