"DR2SKY.Code.or.Value","DR2SKY.Value.Description","DR2SKY.Count","DR2SKY.Cumulative","DR2SKY.Skip.to.Item"
"1","Ordinary, sea, seasoned, or other flavored salt",980,980,NA
"2","Lite salt",24,1004,NA
"3","Salt substitute",23,1027,NA
"91","Other",0,1027,NA
"99","Don't know",18,1045,NA
".","Missing",7659,8704,NA
