"DS2IZINC.Code.or.Value","DS2IZINC.Value.Description","DS2IZINC.Count","DS2IZINC.Cumulative","DS2IZINC.Skip.to.Item"
"0.02 to 120","Range of Values",1395,1395,NA
".","Missing",4381,5776,NA
