"DRXTFDFE.Code.or.Value","DRXTFDFE.Value.Description","DRXTFDFE.Count","DRXTFDFE.Cumulative","DRXTFDFE.Skip.to.Item"
"0 to 6635","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
