"DS1TZINC.Code.or.Value","DS1TZINC.Value.Description","DS1TZINC.Count","DS1TZINC.Cumulative","DS1TZINC.Skip.to.Item"
"0.00001 to 102.475","Range of Values",1287,1287,NA
".","Missing",7417,8704,NA
