"DR2TACAR.Code.or.Value","DR2TACAR.Value.Description","DR2TACAR.Count","DR2TACAR.Cumulative","DR2TACAR.Skip.to.Item"
"0 to 93941","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
