"DR1IVD.Code.or.Value","DR1IVD.Value.Description","DR1IVD.Count","DR1IVD.Cumulative","DR1IVD.Skip.to.Item"
"0 to 96.6","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
