"DRD370B.Code.or.Value","DRD370B.Value.Description","DRD370B.Count","DRD370B.Cumulative","DRD370B.Skip.to.Item"
"1","Yes",1575,1575,""
"2","No",2763,4338,"DRD370C"
".","Missing",4366,8704,""
