"DR1TVK.Code.or.Value","DR1TVK.Value.Description","DR1TVK.Count","DR1TVK.Cumulative","DR1TVK.Skip.to.Item"
"0 to 2702.4","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
