"DR2TP184.Code.or.Value","DR2TP184.Value.Description","DR2TP184.Count","DR2TP184.Cumulative","DR2TP184.Skip.to.Item"
"0 to 1.258","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
