"DRD370L.Code.or.Value","DRD370L.Value.Description","DRD370L.Count","DRD370L.Cumulative","DRD370L.Skip.to.Item"
"1","Yes",22,22,""
"2","No",4316,4338,"DRD370M"
".","Missing",4366,8704,""
