"DRD350C.Code.or.Value","DRD350C.Value.Description","DRD350C.Count","DRD350C.Cumulative","DRD350C.Skip.to.Item"
"1","Yes",93,93,""
"2","No",3212,3305,"DRD350D"
".","Missing",5399,8704,""
