"DRXTP226.Code.or.Value","DRXTP226.Value.Description","DRXTP226.Count","DRXTP226.Cumulative","DRXTP226.Skip.to.Item"
"0 to 6.647","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
