"DS2DS.Code.or.Value","DS2DS.Value.Description","DS2DS.Count","DS2DS.Cumulative","DS2DS.Skip.to.Item"
"1","Yes",2454,2454,NA
"2","No",4175,6629,NA
"7","Refused",0,6629,NA
"9","Don't know",0,6629,NA
".","Missing",2075,8704,NA
