"DR2IVD.Code.or.Value","DR2IVD.Value.Description","DR2IVD.Count","DR2IVD.Cumulative","DR2IVD.Skip.to.Item"
"0 to 90.3","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
