"DSQICHOL.Code.or.Value","DSQICHOL.Value.Description","DSQICHOL.Count","DSQICHOL.Cumulative","DSQICHOL.Skip.to.Item"
"1 to 250","Range of Values",442,442,NA
".","Missing",9542,9984,NA
