"DR1IS140.Code.or.Value","DR1IS140.Value.Description","DR1IS140.Count","DR1IS140.Cumulative","DR1IS140.Skip.to.Item"
"0 to 16.657","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
