"DRQ370CQ.Code.or.Value","DRQ370CQ.Value.Description","DRQ370CQ.Count","DRQ370CQ.Cumulative","DRQ370CQ.Skip.to.Item"
"1 to 7","Range of Values",97,97,NA
".","Missing",9185,9282,NA
