"DS2ISFAT.Code.or.Value","DS2ISFAT.Value.Description","DS2ISFAT.Count","DS2ISFAT.Cumulative","DS2ISFAT.Skip.to.Item"
"0.05 to 15","Range of Values",92,92,NA
".","Missing",5684,5776,NA
