"DRXTCAFF.Code.or.Value","DRXTCAFF.Value.Description","DRXTCAFF.Count","DRXTCAFF.Cumulative","DRXTCAFF.Skip.to.Item"
"0 to 3197","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
