"DS2IVK.Code.or.Value","DS2IVK.Value.Description","DS2IVK.Count","DS2IVK.Cumulative","DS2IVK.Skip.to.Item"
"5 to 5000","Range of Values",798,798,NA
".","Missing",4978,5776,NA
