"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",142,142,""
"2","No",4196,4338,"DRD370L"
".","Missing",4366,8704,""
