"DTD020aF.Code.or.Value","DTD020aF.Value.Description","DTD020aF.Count","DTD020aF.Cumulative","DTD020aF.Skip.to.Item"
"56201060 to 999999999","Range of Values",6413,6413,NA
".","Missing",2128,8541,NA
