"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",3305,3305,""
"2","No",4019,7324,"DRD360"
"7","Refused",34,7358,"DRD360"
"9","Don't know",43,7401,"DRD360"
".","Missing",1303,8704,""
