"DTQ220U.Code.or.Value","DTQ220U.Value.Description","DTQ220U.Count","DTQ220U.Cumulative","DTQ220U.Skip.to.Item"
"1","Day",846,846,NA
"2","Week",2282,3128,NA
"3","Month",3357,6485,NA
"7","Refused",3,6488,NA
"9","Don't know",6,6494,NA
".","Missing",2047,8541,NA
