"DTD090Q.Code.or.Value","DTD090Q.Value.Description","DTD090Q.Count","DTD090Q.Cumulative","DTD090Q.Skip.to.Item"
"0 to 45","Range of Values",7850,7850,NA
"777","Refused",3,7853,NA
"999","Don't know",6,7859,NA
".","Missing",682,8541,NA
