"FFQ0042.Code.or.Value","FFQ0042.Value.Description","FFQ0042.Count","FFQ0042.Cumulative","FFQ0042.Skip.to.Item"
1,"Yes",4181,4181,""
2,"No",1449,5630,"FFQ0043"
88,"Blank",381,6011,""
99,"Error",2,6013,""
