"DTQ120U.Code.or.Value","DTQ120U.Value.Description","DTQ120U.Count","DTQ120U.Cumulative","DTQ120U.Skip.to.Item"
"1","Day",451,451,NA
"2","Week",1944,2395,NA
"3","Month",3329,5724,NA
"7","Refused",3,5727,NA
"9","Don't know",6,5733,NA
".","Missing",2808,8541,NA
