"DR1TFDFE.Code.or.Value","DR1TFDFE.Value.Description","DR1TFDFE.Count","DR1TFDFE.Cumulative","DR1TFDFE.Skip.to.Item"
"0 to 6218","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
