"DRQ370DQ.Code.or.Value","DRQ370DQ.Value.Description","DRQ370DQ.Count","DRQ370DQ.Cumulative","DRQ370DQ.Skip.to.Item"
"1 to 15","Range of Values",740,740,NA
".","Missing",8542,9282,NA
