"DSQIVC.Code.or.Value","DSQIVC.Value.Description","DSQIVC.Count","DSQIVC.Cumulative","DSQIVC.Skip.to.Item"
"0.2 to 30000","Range of Values",3341,3341,NA
".","Missing",6643,9984,NA
