"DR1TCARB.Code.or.Value","DR1TCARB.Value.Description","DR1TCARB.Count","DR1TCARB.Cumulative","DR1TCARB.Skip.to.Item"
"0 to 1476.76","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
