"DR1IVARA.Code.or.Value","DR1IVARA.Value.Description","DR1IVARA.Count","DR1IVARA.Cumulative","DR1IVARA.Skip.to.Item"
"0 to 6324","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
