"DS1TSODI.Code.or.Value","DS1TSODI.Value.Description","DS1TSODI.Count","DS1TSODI.Cumulative","DS1TSODI.Skip.to.Item"
"2 to 510","Range of Values",402,402,NA
".","Missing",8302,8704,NA
