"DRXTKCAL.Code.or.Value","DRXTKCAL.Value.Description","DRXTKCAL.Count","DRXTKCAL.Cumulative","DRXTKCAL.Skip.to.Item"
"0 to 15594","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
