"DR1TATOA.Code.or.Value","DR1TATOA.Value.Description","DR1TATOA.Count","DR1TATOA.Cumulative","DR1TATOA.Skip.to.Item"
"0 to 66.2","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
