"DRXTFIBE.Code.or.Value","DRXTFIBE.Value.Description","DRXTFIBE.Count","DRXTFIBE.Cumulative","DRXTFIBE.Skip.to.Item"
"0 to 128.3","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
