"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 10.064","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
