"DSDSUPID.Code.or.Value","DSDSUPID.Value.Description","DSDSUPID.Count","DSDSUPID.Cumulative","DSDSUPID.Skip.to.Item"
"Supplement ID Number","Value was recorded",9559,9559,NA
"< blank >","Missing",0,9559,NA
