"DRDCWATR.Code.or.Value","DRDCWATR.Value.Description","DRDCWATR.Count","DRDCWATR.Cumulative","DRDCWATR.Skip.to.Item"
"0 to 2664","Range of Values",9883,9883,NA
".","Missing",594,10477,NA
