"DR1TP182.Code.or.Value","DR1TP182.Value.Description","DR1TP182.Count","DR1TP182.Cumulative","DR1TP182.Skip.to.Item"
"0 to 195.387","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
