"DS1IVD.Code.or.Value","DS1IVD.Value.Description","DS1IVD.Count","DS1IVD.Cumulative","DS1IVD.Skip.to.Item"
"0.01 to 2500","Range of Values",2259,2259,NA
".","Missing",3809,6068,NA
