"DS1IIODI.Code.or.Value","DS1IIODI.Value.Description","DS1IIODI.Count","DS1IIODI.Cumulative","DS1IIODI.Skip.to.Item"
"0.15 to 12500","Range of Values",1084,1084,NA
".","Missing",4984,6068,NA
