"DSQIVB6.Code.or.Value","DSQIVB6.Value.Description","DSQIVB6.Count","DSQIVB6.Cumulative","DSQIVB6.Skip.to.Item"
"0.03 to 500","Range of Values",2679,2679,NA
".","Missing",7305,9984,NA
