"DR1TATOC.Code.or.Value","DR1TATOC.Value.Description","DR1TATOC.Count","DR1TATOC.Cumulative","DR1TATOC.Skip.to.Item"
"0 to 138.55","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
