"DRQ370GQ.Code.or.Value","DRQ370GQ.Value.Description","DRQ370GQ.Count","DRQ370GQ.Cumulative","DRQ370GQ.Skip.to.Item"
"1 to 8","Range of Values",154,154,NA
".","Missing",9128,9282,NA
